"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.197558500E-2,-6.382014751E-1,-6.160575747E-1,-6.704246253E-2
2.708608200E-2,-6.382014751E-1,-6.160575747E-1,-6.704246253E-2
3.708608200E-2,-6.382014751E-1,-6.160575747E-1,-6.704246253E-2
4.708608200E-2,-6.382014751E-1,-6.160575747E-1,-6.704246253E-2
5.708608200E-2,-1.264338374E0,7.980954647E-1,4.650211632E-1
6.708633200E-2,-9.546296597E-1,1.100473762E0,5.151121020E-1
7.708633200E-2,-6.858489513E-1,1.532355428E0,5.450445414E-1
8.708633200E-2,-5.056437254E-1,2.118175268E0,6.678284407E-1
9.708633200E-2,-4.109596014E-1,2.486526966E0,8.541423082E-1
1.070863320E-1,-3.193297982E-1,2.300823927E0,1.172403097E0
1.170863320E-1,-3.266601861E-1,1.839009762E0,1.324508548E0
1.270863320E-1,-3.895792961E-1,1.299004912E0,1.404531956E0
1.370863320E-1,-4.360050559E-1,8.378016949E-1,1.444849014E0
1.470863320E-1,-4.036292136E-1,4.431827366E-1,1.447292447E0
1.570863320E-1,-2.600758672E-1,7.177666575E-2,1.377043009E0
1.670863320E-1,2.596177394E-3,-1.511891484E-1,1.157742381E0
1.770863320E-1,3.795000315E-1,-3.045163155E-1,7.704538107E-1
1.870863320E-1,7.588473558E-1,-4.236350358E-1,1.950187236E-1
1.970863320E-1,1.042288780E0,-4.615086913E-1,-4.732678533E-1
2.070863320E-1,1.246928692E0,-7.119634151E-1,-1.010218382E0
2.170863320E-1,1.359938741E0,-1.170112371E0,-1.299768567E0
2.270863320E-1,1.408197165E0,-1.653306842E0,-1.392620087E0
2.370863320E-1,1.410029650E0,-1.972789288E0,-1.326035738E0
2.470863320E-1,1.338558435E0,-2.035097599E0,-1.242347240E0
2.570863320E-1,1.021519423E0,-1.848783612E0,-1.201419234E0
2.670863320E-1,4.485278130E-1,-1.875661731E0,-1.267392635E0
2.770863320E-1,-2.845104933E-1,-1.548848867E0,-1.528232098E0
2.870863320E-1,-1.100626469E0,-1.141401768E0,-1.861153722E0
2.970863320E-1,-1.682780981E0,-8.097018600E-1,-1.930792332E0
3.070863320E-1,-1.797012806E0,-8.536841869E-1,-1.617418408E0
3.170863660E-1,-1.453706622E0,-1.099862933E0,-1.345583439E0
3.270860320E-1,-9.442449808E-1,-1.684460878E0,-1.422552466E0
3.370860320E-1,-4.402811229E-1,-2.432159901E0,-1.486693263E0
3.470860320E-1,2.029599845E-1,-2.751031637E0,-1.519680023E0
3.570860320E-1,8.516988754E-1,-2.634967327E0,-1.554499388E0
3.670859980E-1,1.190118194E0,-2.665510416E0,-1.556331873E0
3.770859980E-1,1.188896537E0,-2.862209082E0,-1.454928279E0
3.870859980E-1,1.074053764E0,-2.780964136E0,-1.230740786E0
3.970859980E-1,7.631233931E-1,-2.310597897E0,-8.666650653E-1
4.070859980E-1,1.803579628E-1,-1.423010588E0,-2.368630022E-1
4.170859980E-1,-1.269072592E-1,-1.109025836E0,-7.742717117E-2
4.270859980E-1,-4.231768847E-1,-9.899071455E-1,-1.727221459E-1
4.370859980E-1,-7.493789196E-1,-9.844093323E-1,-4.683809280E-1
4.470859980E-1,-1.175152063E0,-8.506298661E-1,-8.153523803E-1
4.570859980E-1,-1.684002757E0,-3.271183372E-1,-9.760099649E-1
4.670859980E-1,-2.228894472E0,4.663956165E-1,-8.165740967E-1
4.770859980E-1,-2.700482607E0,1.270905137E0,-5.086980462E-1
4.870859980E-1,-2.795166731E0,2.039984465E0,-9.941831976E-2
4.970859980E-1,-2.502562284E0,2.409558058E0,3.917173445E-1
5.070859980E-1,-2.005317926E0,2.455983639E0,9.115636349E-1
5.170859980E-1,-1.547779799E0,2.366797447E0,1.174846530E0
5.270859980E-1,-9.967793822E-1,2.057699680E0,9.494373202E-1
5.370859980E-1,-2.855795063E-2,1.336878538E0,7.606799603E-1
5.470859980E-1,8.663596511E-1,1.310611367E0,5.474879742E-1
5.570859980E-1,1.269530654E0,1.379028320E0,5.878050923E-1
5.670859980E-1,1.531591892E0,9.899071455E-1,8.297077417E-1
5.770859980E-1,1.588402390E0,6.343835592E-1,1.156520605E0
5.870860310E-1,1.563356876E0,4.254676402E-1,1.512655020E0
5.970860310E-1,1.528537512E0,2.269364446E-1,1.875509024E0
6.070860310E-1,1.520596266E0,2.055561543E-1,2.198656797E0
6.170859970E-1,1.543809175E0,2.079996169E-1,2.356870890E0
6.270863300E-1,1.540754914E0,2.984076738E-1,2.395966291E0
6.370863300E-1,1.545030951E0,4.529565871E-1,2.312277555E0
6.470863300E-1,1.615280390E0,1.047939301E0,1.991573453E0
6.570863300E-1,1.727068782E0,1.335656881E0,1.506546378E0
6.670863300E-1,1.753335953E0,8.726209998E-1,9.182831645E-1
6.770863300E-1,1.536478758E0,-4.431827366E-1,4.815145433E-1
6.870863300E-1,1.220661521E0,-1.440114856E0,1.027780771E-1
6.970863300E-1,7.790058851E-1,-1.255022645E0,-3.065016270E-1
7.070863300E-1,3.788891733E-1,-8.066475391E-1,-3.303253949E-1
7.170863300E-1,-3.089450896E-1,-2.422080636E-1,-1.941024363E-1
7.270863300E-1,-1.024268270E0,2.348776907E-1,-6.337726861E-2
7.370863300E-1,-1.634522676E0,5.390886068E-1,1.664607786E-2
7.470863300E-1,-2.007761240E0,9.123272300E-1,1.298088674E-2
7.570863300E-1,-2.172084093E0,1.376584888E0,-1.023199316E-2
7.670863300E-1,-2.029752493E0,1.423621416E0,-1.293507218E-1
7.770863300E-1,-1.711491704E0,8.976664543E-1,-2.570215464E-1
7.870863300E-1,-1.305877209E0,3.695734590E-2,-3.804163337E-1
7.970863300E-1,-8.019133210E-1,-8.286387324E-1,-5.178610086E-1
8.070863300E-1,-2.759583890E-1,-1.510975242E0,-6.601926088E-1
8.170863630E-1,1.553124934E-1,-1.872607350E0,-7.774787545E-1
8.270863630E-1,3.526219726E-1,-2.025934696E0,-8.544477820E-1
8.370863630E-1,2.542726696E-1,-1.693623900E0,-9.466884136E-1
8.470863630E-1,-1.501201391E-1,-1.049771905E0,-1.129337072E0
8.570863630E-1,-5.038111210E-1,-1.193936110E0,-1.236849427E0
8.670863630E-1,-8.061894178E-1,-1.614822268E0,-1.391398311E0
8.770863630E-1,-1.078024387E0,-2.095573187E0,-1.573436141E0
8.870863290E-1,-1.277777433E0,-2.572048187E0,-1.778076053E0
8.970863290E-1,-1.326646566E0,-2.910467386E0,-2.036472082E0
9.070863290E-1,-1.252731919E0,-2.950784683E0,-2.335795879E0
9.170863290E-1,-1.054811597E0,-2.883589506E0,-2.675436974E0
