"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.767416659E-3,-4.236789551E0,3.963607635E0,8.666228485E0
1.172141667E-2,-4.278403015E0,3.916156311E0,8.413703613E0
2.167441667E-2,-4.195924530E0,3.909719696E0,8.409063263E0
3.162741667E-2,-4.007466431E0,3.863465881E0,8.454868011E0
4.158041667E-2,-3.843856659E0,3.708388367E0,8.572822723E0
5.153441668E-2,-3.707041168E0,3.603755951E0,8.665629730E0
6.148741668E-2,-3.614084473E0,3.527115326E0,8.706644440E0
7.144041668E-2,-3.613036652E0,3.508254547E0,8.678502960E0
8.139341668E-2,-3.768712921E0,3.545976105E0,8.585396576E0
9.134741669E-2,-3.915707245E0,3.659440155E0,8.459059296E0
1.013004167E-1,-4.018244019E0,3.802392883E0,8.313262482E0
1.112534167E-1,-4.090393982E0,3.870052185E0,8.181985474E0
1.212074167E-1,-4.099375305E0,3.891307983E0,8.122858429E0
1.311604167E-1,-3.987707520E0,3.887416077E0,8.105943604E0
1.411134167E-1,-3.863166504E0,3.837270355E0,8.064779205E0
1.510664167E-1,-3.828738098E0,3.740122375E0,8.036338348E0
1.610204167E-1,-3.820205841E0,3.613785095E0,8.058941345E0
1.709734167E-1,-3.850442963E0,3.560196533E0,8.044271851E0
1.809264167E-1,-3.893553314E0,3.578308868E0,8.028554535E0
1.908794167E-1,-3.927682343E0,3.625460815E0,7.954907684E0
2.008334167E-1,-4.029171295E0,3.680546265E0,7.933502197E0
2.107864167E-1,-4.089196472E0,3.745960236E0,7.943381653E0
2.207394167E-1,-4.125720520E0,3.826941833E0,7.878716125E0
2.306924167E-1,-4.248914337E0,3.832480316E0,7.802075500E0
2.406464167E-1,-4.582720184E0,3.932771759E0,7.706574097E0
2.505994167E-1,-5.036875763E0,4.286935272E0,7.655679932E0
2.605524167E-1,-5.167853394E0,4.573140106E0,7.740254059E0
2.705064167E-1,-5.932014313E0,4.088897095E0,7.573949890E0
2.804594167E-1,-4.980293427E0,3.485950928E0,7.592211914E0
2.904124167E-1,-3.658991089E0,2.695893860E0,8.433761902E0
3.003654167E-1,-3.906426544E0,1.953587494E0,8.152945862E0
3.103194167E-1,-4.205205231E0,1.947450256E0,7.494614868E0
3.202724167E-1,-3.628005524E0,2.261197815E0,7.000791779E0
3.302254167E-1,-3.150348816E0,2.129920807E0,7.039860535E0
3.401784167E-1,-2.998863831E0,1.862427063E0,6.649921417E0
3.501324167E-1,-2.825374603E0,1.918410645E0,6.025719452E0
3.600854167E-1,-2.416574707E0,2.060165863E0,5.921386414E0
3.700384167E-1,-2.436183929E0,2.116598511E0,5.882018280E0
3.799924167E-1,-2.915636902E0,2.316582642E0,6.462960205E0
3.899454167E-1,-2.712658997E0,2.101929016E0,7.125632172E0
3.998984167E-1,-2.308050385E0,1.347647552E0,7.975714417E0
4.098514167E-1,-3.949836273E0,1.148561554E0,8.840765533E0
4.198054167E-1,-3.492387543E0,1.074166260E0,8.538094940E0
4.297584167E-1,-1.770368500E0,9.542655945E-1,7.494764557E0
4.397114167E-1,-9.517208862E-1,5.722599792E-1,8.041427765E0
4.496644167E-1,-9.810598755E-1,-7.783813477E-2,9.000483398E0
4.596184167E-1,-1.549577637E0,-5.873785400E-1,1.017449203E1
4.695714167E-1,-2.070195007E0,-5.261558533E-1,1.096380066E1
4.795244167E-1,-2.298470306E0,3.757186890E-2,1.062280975E1
4.894784167E-1,-2.142794037E0,5.143304443E-1,9.421557770E0
4.994314167E-1,-2.153871002E0,-3.327580261E-1,7.839347992E0
5.093844167E-1,-2.659669189E0,-2.036664734E0,6.224356384E0
5.193374167E-1,-2.741997986E0,-2.650687866E0,5.132227478E0
5.292914167E-1,-2.704725494E0,-2.682571564E0,5.218597870E0
5.392444167E-1,-3.187920685E0,-3.044369202E0,7.372319183E0
5.491974167E-1,-4.727319489E0,-3.813769226E0,1.048524582E1
5.591504167E-1,-6.456523590E0,-4.489613800E0,1.312066544E1
5.691044167E-1,-6.200705566E0,-3.777544556E0,1.335672455E1
