"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.906968000E-3,2.547430515E0,5.245995045E0,7.855675220E0
1.791896800E-2,2.667140722E0,5.372888088E0,7.791031837E0
2.791896800E-2,2.736572504E0,5.499780655E0,7.762300968E0
3.791896800E-2,2.762908697E0,5.624279022E0,7.805397034E0
4.791896800E-2,2.767697096E0,5.724835396E0,7.910741806E0
5.791896800E-2,2.667140722E0,5.753565788E0,8.068758965E0
6.791896800E-2,2.516305923E0,5.746383190E0,8.219594002E0
7.791896800E-2,2.346317768E0,5.693710804E0,8.269871712E0
8.791896800E-2,2.219424963E0,5.648221016E0,8.327332497E0
9.791896800E-2,2.111685991E0,5.629067421E0,8.389581680E0
1.079189680E-1,2.008735180E0,5.614702225E0,8.444648743E0
1.179189680E-1,1.881842494E0,5.590760231E0,8.492532730E0
1.279189680E-1,1.723825216E0,5.569212437E0,8.526051521E0
1.379189680E-1,1.525106430E0,5.538087845E0,8.540416718E0
1.479189680E-1,1.335964561E0,5.487809658E0,8.554781914E0
1.579189680E-1,1.177947283E0,5.406406879E0,8.566753387E0
1.679189680E-1,1.060631394E0,5.315426826E0,8.573935509E0
1.779189680E-1,9.983820915E-1,5.229235649E0,8.583512306E0
1.879189680E-1,9.576807022E-1,5.164592266E0,8.590695381E0
1.979189680E-1,9.361328483E-1,5.111919880E0,8.583512306E0
2.079189680E-1,9.289502501E-1,5.071218491E0,8.542811394E0
2.179189680E-1,9.217676520E-1,5.052064896E0,8.485349655E0
2.279189680E-1,8.978256583E-1,5.047276497E0,8.423100471E0
2.379189680E-1,8.643068075E-1,5.047276497E0,8.341697693E0
2.479189680E-1,8.283938169E-1,5.030517101E0,8.243535995E0
2.579189680E-1,7.852981687E-1,4.999392509E0,8.135796547E0
2.679189680E-1,7.517793179E-1,4.961085320E0,8.037634850E0
2.779189680E-1,7.230489254E-1,4.915595531E0,7.929895401E0
2.879189680E-1,7.158663273E-1,4.876988888E0,7.831733227E0
2.979189680E-1,7.422025204E-1,4.845864296E0,7.721599579E0
3.079189680E-1,7.805097699E-1,4.829104900E0,7.609072208E0
3.179189680E-1,8.283938169E-1,4.826710701E0,7.479785442E0
3.279189680E-1,8.714894056E-1,4.838681698E0,7.350498676E0
3.379189680E-1,8.930372596E-1,4.857835293E0,7.216423035E0
3.479189680E-1,9.026140571E-1,4.888959885E0,7.106289864E0
3.579189680E-1,8.834604025E-1,4.953902721E0,7.056011677E0
3.679189680E-1,8.547300100E-1,5.037699699E0,7.075165272E0
3.779189680E-1,7.972691655E-1,5.126285076E0,7.170933247E0
3.879189680E-1,7.086837292E-1,5.210082054E0,7.307403088E0
3.979189680E-1,5.530605912E-1,5.308244228E0,7.551611423E0
4.079189680E-1,3.663128614E-1,5.384859085E0,7.814973831E0
4.179189680E-1,1.699883193E-1,5.444714069E0,8.119037628E0
