"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.734355238157508E9,"2024-12-16 14:20:38.158 UTC+01:00"
"PAUSE",1.110038329166127E1,1.734355249257873E9,"2024-12-16 14:20:49.258 UTC+01:00"
