"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.734355782823500E9,"2024-12-16 14:29:42.824 UTC+01:00"
"PAUSE",1.658396487502614E1,1.734355799407439E9,"2024-12-16 14:29:59.407 UTC+01:00"
