"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.249896400E-2,1.709406972E0,-5.618720055E-1,3.581190109E-1
3.249896400E-2,1.719233751E0,-5.516099930E-1,3.501758575E-1
4.249896400E-2,1.729049325E0,-5.413498878E-1,3.422670364E-1
5.249896400E-2,1.738899469E0,-5.310711861E-1,3.343734741E-1
6.249896400E-2,1.795555353E0,-5.008850098E-1,3.057718277E-1
7.249896400E-2,1.846371412E0,-4.713144302E-1,2.792243958E-1
8.249896400E-2,1.889719486E0,-4.432764053E-1,2.554140091E-1
9.249896400E-2,1.926706314E0,-4.215693474E-1,2.366132736E-1
1.024989640E-1,1.950590611E0,-4.087214470E-1,2.252473831E-1
1.124989640E-1,1.962724209E0,-4.002537727E-1,2.184562683E-1
1.224989640E-1,1.967123985E0,-3.959836960E-1,2.153472900E-1
1.324989640E-1,1.971490264E0,-3.959021568E-1,2.145280838E-1
1.424989640E-1,1.981726766E0,-4.001493454E-1,2.150306702E-1
1.524989640E-1,2.001621008E0,-4.072656631E-1,2.154264450E-1
1.624989640E-1,2.034532547E0,-4.163389206E-1,2.147188187E-1
1.724989640E-1,2.078655720E0,-4.265213013E-1,2.129011154E-1
1.824989640E-1,2.128318787E0,-4.366559982E-1,2.104177475E-1
1.924989640E-1,2.177702904E0,-4.464287758E-1,2.080831528E-1
2.024989640E-1,2.222593069E0,-4.563531876E-1,2.067880630E-1
2.124989640E-1,2.260073662E0,-4.676971436E-1,2.075853348E-1
2.224989640E-1,2.290076971E0,-4.824786186E-1,2.115068436E-1
2.324989640E-1,2.312274456E0,-5.020108223E-1,2.192726135E-1
2.424989640E-1,2.325357199E0,-5.257716179E-1,2.307529449E-1
2.524989640E-1,2.325132608E0,-5.533118248E-1,2.462673187E-1
2.624989640E-1,2.319884300E0,-5.814213753E-1,2.629098892E-1
2.724989640E-1,2.311951160E0,-6.084914207E-1,2.794570923E-1
2.824989640E-1,2.302002430E0,-6.338148117E-1,2.954044342E-1
2.924989640E-1,2.292522907E0,-6.569705009E-1,3.101491928E-1
3.024989640E-1,2.287049294E0,-6.775865555E-1,3.229351044E-1
3.124989640E-1,2.285211086E0,-6.949214935E-1,3.333501816E-1
3.224989640E-1,2.283173084E0,-7.075033188E-1,3.410396576E-1
3.324989640E-1,2.280665159E0,-7.158269882E-1,3.463058472E-1
3.424989640E-1,2.281136036E0,-7.208437920E-1,3.492040634E-1
3.524989640E-1,2.285218716E0,-7.231292725E-1,3.499708176E-1
3.624989640E-1,2.289353371E0,-7.228565216E-1,3.492202759E-1
3.724989640E-1,2.289138556E0,-7.201952934E-1,3.476772308E-1
3.824989640E-1,2.285111427E0,-7.165741920E-1,3.461132050E-1
3.924989640E-1,-1.316772699E-1,-6.451702118E-2,-1.317472458E-1
4.024989640E-1,-2.827935815E-1,9.379816055E-2,-1.293115616E-1
4.124989640E-1,-4.127650857E-1,2.366676331E-1,-1.328105927E-1
4.224989640E-1,-5.481624603E-1,3.671607971E-1,-1.376371384E-1
4.324989640E-1,-6.591210365E-1,4.716696739E-1,-1.177024841E-1
4.424989640E-1,-7.329016328E-1,5.538182259E-1,-3.758430481E-2
4.524989640E-1,-7.782064676E-1,6.046862602E-1,6.663703918E-2
4.624989640E-1,-7.739162445E-1,6.290435791E-1,1.899080276E-1
4.724989640E-1,-7.364470959E-1,6.426291466E-1,2.914628983E-1
4.824989640E-1,-7.055933475E-1,6.559958458E-1,3.601217270E-1
4.924989640E-1,-6.910296679E-1,6.612954140E-1,4.062652588E-1
5.024989640E-1,-7.282482386E-1,6.603183746E-1,4.401588440E-1
5.124989640E-1,-7.885372639E-1,6.541657448E-1,4.591045380E-1
5.224989640E-1,-8.714390397E-1,6.412754059E-1,4.918527603E-1
5.324989640E-1,-9.528656602E-1,6.391949654E-1,5.309658051E-1
5.424989640E-1,-9.816802740E-1,6.249556541E-1,5.855417252E-1
5.524989640E-1,-9.682096839E-1,5.900230408E-1,6.605110168E-1
5.624989640E-1,-9.050703645E-1,5.242481232E-1,7.700262070E-1
5.724989640E-1,-8.275554776E-1,4.551596642E-1,8.999061584E-1
5.824989640E-1,-7.389391065E-1,3.624258041E-1,1.028694153E0
5.924989640E-1,-6.645466089E-1,2.539834976E-1,1.123568535E0
6.024989640E-1,-6.064236164E-1,1.213946342E-1,1.163550377E0
6.124989640E-1,-5.515704155E-1,-1.541614532E-3,1.181969643E0
6.224989640E-1,-5.342910290E-1,-9.323072433E-2,1.163311958E0
6.324989640E-1,-5.449548960E-1,-1.458187103E-1,1.122867584E0
6.424989640E-1,-5.663039684E-1,-1.708869934E-1,1.061318398E0
6.524989640E-1,-5.858904123E-1,-1.638169289E-1,9.916191101E-1
6.624989640E-1,-5.800910592E-1,-1.314239502E-1,9.335718155E-1
6.724989640E-1,-5.476487875E-1,-7.615947723E-2,9.049243927E-1
6.824989640E-1,-4.873502553E-1,-1.066112518E-2,9.502468109E-1
6.924989640E-1,-4.187242985E-1,2.088308334E-2,1.051962852E0
7.024989640E-1,-3.493032455E-1,-1.093626022E-2,1.203200340E0
7.124989640E-1,-3.021443486E-1,-6.439447403E-2,1.362514496E0
7.224989640E-1,-2.533258200E-1,-1.712036133E-1,1.530737877E0
7.324989640E-1,-2.014788985E-1,-2.787528038E-1,1.667860985E0
7.424989640E-1,-1.406716108E-1,-3.847937584E-1,1.779583931E0
7.524989640E-1,-7.278406620E-2,-4.597434998E-1,1.834826469E0
7.624989640E-1,-3.190934658E-3,-5.058803558E-1,1.816209793E0
7.724989640E-1,6.338244677E-2,-5.434947014E-1,1.735820770E0
7.824989640E-1,1.118406653E-1,-5.790109634E-1,1.576190948E0
7.924989640E-1,1.371896267E-1,-6.126990318E-1,1.400943756E0
8.024989640E-1,1.232821345E-1,-6.630415916E-1,1.191924095E0
8.124989640E-1,9.643262625E-2,-7.293624878E-1,9.785976410E-1
8.224989640E-1,5.210226774E-2,-8.208947182E-1,7.448024750E-1
8.324989640E-1,1.121890545E-2,-9.087281227E-1,5.248231888E-1
8.424989640E-1,-2.316451073E-2,-9.879517555E-1,3.147382736E-1
