"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.924989640E-1,1.067813993E0,4.881777287E0,8.250718117E0
4.024989640E-1,9.169792533E-1,5.040093899E0,8.253112793E0
4.124989640E-1,7.829039693E-1,5.186140060E0,8.248324394E0
4.224989640E-1,6.392518282E-1,5.322609425E0,8.241141319E0
4.324989640E-1,5.171475410E-1,5.435137272E0,8.257901192E0
4.424989640E-1,4.309563041E-1,5.526116848E0,8.334515572E0
4.524989640E-1,3.734954596E-1,5.585971832E0,8.435071945E0
4.624989640E-1,3.639186621E-1,5.619490623E0,8.554781914E0
4.724989640E-1,3.806780577E-1,5.643432617E0,8.652944565E0
4.824989640E-1,3.830722570E-1,5.669768810E0,8.717587471E0
4.924989640E-1,3.639186621E-1,5.691316605E0,8.758289337E0
5.024989640E-1,2.896983922E-1,5.710470200E0,8.784625053E0
5.124989640E-1,1.915361285E-1,5.727229595E0,8.794201851E0
5.224989640E-1,7.422025502E-2,5.739200592E0,8.815750122E0
5.324989640E-1,-3.591302410E-2,5.763142586E0,8.842085838E0
5.424989640E-1,-8.619125932E-2,5.775113583E0,8.882787704E0
5.524989640E-1,-7.900865376E-2,5.765536785E0,8.942642212E0
5.624989640E-1,-1.197100803E-2,5.724835396E0,9.036016464E0
5.724989640E-1,7.422025502E-2,5.681739807E0,9.148544312E0
5.824989640E-1,1.699883193E-1,5.617096424E0,9.258677483E0
5.924989640E-1,2.466027737E-1,5.540482044E0,9.332897186E0
6.024989640E-1,2.992752194E-1,5.444714069E0,9.349657059E0
6.124989640E-1,3.399766386E-1,5.363311291E0,9.342473984E0
6.224989640E-1,3.375824392E-1,5.315426826E0,9.296984673E0
6.324989640E-1,3.064578176E-1,5.305850029E0,9.229947090E0
6.424989640E-1,2.657563984E-1,5.320215225E0,9.143755913E0
6.524989640E-1,2.298433632E-1,5.360917091E0,9.052776337E0
6.624989640E-1,2.250549644E-1,5.418377876E0,8.978555679E0
6.724989640E-1,2.561795712E-1,5.487809658E0,8.940248489E0
6.824989640E-1,3.280056417E-1,5.554847240E0,8.983344078E0
6.924989640E-1,4.213795066E-1,5.574000835E0,9.091083527E0
7.024989640E-1,5.267243981E-1,5.509357452E0,9.261071205E0
7.124989640E-1,6.081272364E-1,5.413589478E0,9.445425034E0
7.224989640E-1,6.847416759E-1,5.260360241E0,9.641749382E0
7.324989640E-1,7.565677166E-1,5.107131481E0,9.806949615E0
7.424989640E-1,8.307880163E-1,4.961085320E0,9.943418503E0
7.524989640E-1,9.074024558E-1,4.855441093E0,1.001763916E1
7.624989640E-1,9.816226959E-1,4.790797710E0,1.001045704E1
7.724989640E-1,1.046266198E0,4.747702122E0,9.933841705E0
7.824989640E-1,1.084573388E0,4.718971729E0,9.771036148E0
7.924989640E-1,1.094150186E0,4.702212334E0,9.586683273E0
8.024989640E-1,1.063025594E0,4.675876141E0,9.364022255E0
8.124989640E-1,1.019929886E0,4.637568474E0,9.134179115E0
8.224989640E-1,9.600749016E-1,4.575319290E0,8.882787704E0
8.324989640E-1,9.050082564E-1,4.515464306E0,8.645761490E0
8.424989640E-1,8.595184088E-1,4.460397720E0,8.420706749E0
8.524989640E-1,8.212111592E-1,4.410119534E0,8.226776123E0
8.624989640E-1,8.116343617E-1,4.371812344E0,8.061576843E0
8.724989640E-1,8.236053586E-1,4.343081951E0,7.922712803E0
8.824989640E-1,8.403648138E-1,4.316745758E0,7.805397034E0
8.924989640E-1,8.547300100E-1,4.299986362E0,7.716811180E0
9.024989640E-1,8.451532125E-1,4.268861771E0,7.656956196E0
9.124989640E-1,8.044517636E-1,4.225766182E0,7.604283810E0
9.224989640E-1,7.326257229E-1,4.165910721E0,7.539640427E0
9.324989640E-1,6.440402865E-1,4.101267338E0,7.463026047E0
9.424989640E-1,5.195417404E-1,4.046200752E0,7.362469673E0
9.524989640E-1,3.950432837E-1,4.003105164E0,7.257124424E0
9.624989640E-1,3.064578176E-1,3.995922565E0,7.125443459E0
9.724989640E-1,2.585737705E-1,4.017470360E0,7.015310287E0
9.824989640E-1,2.920926213E-1,4.084507942E0,6.931513309E0
9.924989640E-1,3.687070608E-1,4.165910721E0,6.862081528E0
1.002498964E0,4.525041282E-1,4.249708176E0,6.797437668E0
1.012498964E0,5.099649429E-1,4.340687752E0,6.744765282E0
1.022498964E0,4.812345505E-1,4.460397720E0,6.696881294E0
1.032498964E0,3.974374831E-1,4.584896088E0,6.658574104E0
1.042498964E0,2.705447972E-1,4.721365929E0,6.641814709E0
1.052498964E0,1.508347094E-1,4.848258495E0,6.641814709E0
1.062498964E0,7.661445439E-2,4.977844715E0,6.684910297E0
1.072498964E0,7.182604820E-2,5.097554684E0,6.756736279E0
1.082498964E0,1.843535304E-1,5.231629848E0,6.917148113E0
1.092498964E0,3.208230138E-1,5.353734493E0,7.094318867E0
1.102498964E0,4.812345505E-1,5.463867664E0,7.297826290E0
1.112498964E0,6.177040339E-1,5.554847240E0,7.515698433E0
1.122498964E0,6.991068721E-1,5.636250019E0,7.733570576E0
1.132498964E0,7.158663273E-1,5.693710804E0,7.929895401E0
1.142498964E0,6.727706790E-1,5.739200592E0,8.099884033E0
1.152498964E0,6.153098345E-1,5.782296181E0,8.255506516E0
1.162498964E0,5.410895944E-1,5.822998047E0,8.411129951E0
1.172498964E0,4.764461517E-1,5.842151642E0,8.561964989E0
1.182498964E0,4.405331016E-1,5.851728439E0,8.741529465E0
1.192498964E0,4.237737060E-1,5.861305237E0,8.925883293E0
1.202498964E0,4.237737060E-1,5.878064632E0,9.124602318E0
1.212498964E0,4.357447028E-1,5.894824028E0,9.304166794E0
1.222498964E0,4.405331016E-1,5.899612427E0,9.435848236E0
1.232498964E0,4.165911078E-1,5.906795025E0,9.495702744E0
1.242498964E0,3.351882398E-1,5.935525417E0,9.493309021E0
1.252498964E0,2.346317619E-1,5.985803604E0,9.459790230E0
1.262498964E0,1.244984865E-1,6.071994781E0,9.409511566E0
1.272498964E0,2.154781483E-2,6.170156956E0,9.368810654E0
1.282498964E0,-8.379705995E-2,6.297049522E0,9.392752647E0
1.292498964E0,-1.651999205E-1,6.392817974E0,9.471760750E0
1.302498964E0,-1.819593310E-1,6.380846977E0,9.648932457E0
1.312498964E0,-1.604115069E-1,6.301837921E0,9.859622002E0
1.322498964E0,-1.388636976E-1,6.141426563E0,1.014932060E1
1.332498964E0,-1.125274822E-1,5.947496414E0,1.041747093E1
1.342498964E0,-9.097966552E-2,5.691316605E0,1.063773727E1
1.352498964E0,-9.576806426E-2,5.392041683E0,1.076223564E1
1.362498964E0,-1.675941199E-1,5.102343082E0,1.075984192E1
1.372498964E0,-2.873041928E-1,4.869806290E0,1.064970875E1
1.382498964E0,-4.405331016E-1,4.685452938E0,1.039592266E1
1.392498964E0,-5.698199868E-1,4.556165695E0,1.008707142E1
1.402498964E0,-6.871358752E-1,4.477157116E0,9.718363762E0
1.412498964E0,-7.805097699E-1,4.424484730E0,9.366415977E0
1.422498964E0,-8.188169599E-1,4.376600742E0,9.040804863E0
