Person,Action,Acceleration x (m/s^2)_mean,Acceleration x (m/s^2)_std,Acceleration x (m/s^2)_min,Acceleration x (m/s^2)_max,Acceleration y (m/s^2)_mean,Acceleration y (m/s^2)_std,Acceleration y (m/s^2)_min,Acceleration y (m/s^2)_max,Acceleration z (m/s^2)_mean,Acceleration z (m/s^2)_std,Acceleration z (m/s^2)_min,Acceleration z (m/s^2)_max,Gyroscope x (rad/s)_mean,Gyroscope x (rad/s)_std,Gyroscope x (rad/s)_min,Gyroscope x (rad/s)_max,Gyroscope y (rad/s)_mean,Gyroscope y (rad/s)_std,Gyroscope y (rad/s)_min,Gyroscope y (rad/s)_max,Gyroscope z (rad/s)_mean,Gyroscope z (rad/s)_std,Gyroscope z (rad/s)_min,Gyroscope z (rad/s)_max,Linear Acceleration x (m/s^2)_mean,Linear Acceleration x (m/s^2)_std,Linear Acceleration x (m/s^2)_min,Linear Acceleration x (m/s^2)_max,Linear Acceleration y (m/s^2)_mean,Linear Acceleration y (m/s^2)_std,Linear Acceleration y (m/s^2)_min,Linear Acceleration y (m/s^2)_max,Linear Acceleration z (m/s^2)_mean,Linear Acceleration z (m/s^2)_std,Linear Acceleration z (m/s^2)_min,Linear Acceleration z (m/s^2)_max
1,drinking,-0.7293011195845842,5.205455727537202,-11.8875103,10.10622501,6.027205811985213,3.5224175950387453,-2.324769735,15.57248688,2.613294443474706,4.186024776170648,-3.100491285,14.8877449,-0.07308930054184071,0.943857921497925,-3.140305519,4.422206402,0.016138583308559808,1.6361037272441303,-6.014273643,9.688628197,-0.09387066544566024,1.8031817501172385,-8.328994751,5.255426407,1.1855550637607684,1.9320103081137612,-6.395811081,10.56884575,-0.006390714599929293,2.1272893754341546,-8.113456726,7.319087982,0.09870603488750637,1.8850117757786908,-4.113616943,6.752358437
1,drinking,-3.4645854783041146,4.461178877710677,-11.77258873,5.272331238,5.947499257696906,4.785178397266282,-5.272331238,15.35221958,0.8062387378136503,3.146979541525499,-2.806004286,10.35043335,-0.0095935671781942,0.4474808359223903,-2.679102182,2.855336905,-0.00974552774994191,0.8417096289971008,-5.289787769,6.287941456,-0.033214950008565065,1.5720759342180184,-4.896543026,5.36049509,0.34140028230816527,1.2331331248691353,-3.52075386,5.36306572,0.011709120072806195,1.3856642546224662,-4.165266037,5.549013138,0.024155845289639096,0.6153443357258248,-3.118155956,3.380984783
1,drinking,3.012999953595462,4.839217394216948,-7.56358242,10.01524544,5.367376374083499,4.600227503998969,-6.526893139,12.27537155,2.0726264880305636,3.484861517524929,-3.45722723,9.510068893,-0.046221562160946354,0.6436788706335755,-3.809202909,2.147954941,-0.0014672064084793423,1.1676826460149516,-6.991047382,6.050925732,0.0260231431250166,1.456174808163865,-4.291786671,3.898083925,-0.30634177226600273,1.0992375033350947,-4.809860229,1.871124744,-0.07804391218700894,0.9505009528848668,-2.759223461,2.70330286,-0.3703759603896436,1.2261516142506605,-4.229958057,3.796597004
1,walking,7.64886071370936,3.5652090552293116,1.163581967,19.46067047,-8.455283781921885,3.5100052552051206,-18.44792175,5.097554684,1.291259864533547,1.8822188777792317,-2.626439333,17.9714756,-0.07183350272322148,0.8551439375023541,-3.062725544,2.256688833,-0.0317823682362669,1.0871911038025424,-4.523762703,5.926919937,-0.0027052455657800034,2.4244029112639303,-5.768858433,4.884631157,0.8438045521503587,5.376229853418938,-8.211882591,14.87104511,-3.181383583144435,4.365143464532798,-12.81080437,6.055672646,0.3967748211125082,1.7127153891067226,-7.180459976,9.605836868
1,walking,6.42950250320046,3.143047763021342,0.07900865376,23.01366615,-8.962893651366468,3.3396746323067443,-23.15013504,5.219658852,0.4240796832489249,2.0460855675076224,-3.804386616,11.47810268,-0.04572474598367716,0.8116970906456954,-4.366922855,4.284761429,0.06252724711378117,1.0069814602363625,-4.854240894,4.893335819,0.020701153667432207,2.0166651319912634,-5.346139908,5.781381607,-0.2554099004454304,4.782385915154765,-9.237472534,18.36874771,-3.049174706075891,3.8955589887771387,-18.12233353,6.301010609,0.5488831690447866,1.8594361838075346,-9.314286232,7.675937653
1,walking,7.064465363415384,2.7708940867461473,1.230619669,17.70811462,-6.895518160893077,3.5514629138539995,-13.75738239,6.344933987,1.0284759600025202,2.252741229198158,-3.107673883,11.42303562,-0.009700422435452032,0.7219143627933178,-3.654195786,1.762957096,0.028209641378950844,1.150188883495131,-4.932278633,5.263673306,0.02216442342148941,1.5908766789070485,-2.621910095,3.653508663,0.8464307367061686,3.5839916944701256,-5.934171677,10.54170609,-1.6173340877060975,2.9256836411361915,-9.012665749,4.316592693,-1.4572683911818014,1.5480607023732529,-6.696990967,3.822896004
1,walking,7.428543419660794,2.4860053478642565,1.45088625,13.17080307,-6.686130719912669,3.2684748965451984,-12.03834534,4.345476151,0.8948985413252705,1.9920644329362196,-1.752555609,8.913911819,0.020236661413637832,0.657184685215014,-2.855794907,2.651766062,-0.018834741784032813,0.9510363852966223,-4.48573637,4.465883255,0.013594848366093466,1.5186419980548456,-3.226666689,3.145879745,-0.023312129745344544,3.2785376057187503,-7.654211998,7.388772011,-2.1557331236806285,2.986610376392053,-8.21229744,5.157619953,0.21299464563782242,1.3093889884907846,-5.781033516,5.891849518
1,walking,8.059392994210869,3.0297522011549676,1.11569798,16.97309494,-6.109769827294486,3.2714642959654836,-13.03672791,6.002563,1.0906879086189245,2.2173234107527624,-2.370259762,9.974543571,-0.030858661264485873,0.6793330162418952,-2.565634012,2.532647371,-0.02507194324951749,0.8735407254951983,-5.626221657,4.311334133,-0.0065743869248825176,1.7123014002269143,-4.510094643,3.266830921,0.12447444530180979,3.4831003793145783,-6.074501038,10.32132816,-2.7848677552116126,3.332024162246804,-11.91909504,3.688949585,2.097373743937276,1.4168102310618595,-2.944588184,9.601641655
1,walking,7.77271042248387,2.8354446080956826,1.065419793,17.17181396,-7.079078569231693,3.4428664220375698,-13.00799751,5.363311291,1.306510317232041,2.060622568333597,-4.041412354,10.42465305,0.03050924348056821,0.8930666405261656,-1.954157948,2.98652029,0.022504517026715576,1.026989969503163,-3.561497211,4.682740211,0.03141204519504519,1.9931109431364984,-3.631059408,3.496516228,0.7403662123951049,3.811725640806208,-7.702241898,11.49464417,-2.806957977935119,3.3872881017623215,-11.01350689,4.705270767,4.096958446003604,1.933701207187939,-3.138287306,11.59271145
1,walking,7.908881895936689,3.3991773318060123,1.496376038,22.46060562,-6.960437650569039,3.3322887060430726,-14.23143387,4.558559895,1.450328086407659,1.953856608149695,-2.327163935,9.82610321,-0.05533805431323882,0.8175408877427077,-2.483778,2.295020819,0.04967962919420496,1.2633441458538828,-4.670217514,7.198283195,-0.03085539282392146,1.9505306802579196,-5.270010948,4.149531364,0.9376660369449497,4.182291701475403,-6.295944214,17.16027832,-2.7946472759928236,3.430744846579334,-12.79859543,4.652199745,3.8943854673865475,2.185807771575061,-6.990057945,9.775006294
