time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1733409612308118528,0.20012974739074707,-0.015171563252806664,0.020754937082529068,-0.025521954521536827,-0.1331227868795395,-0.018526172265410423,-0.9909263849258423,0.003911405801773071,0.01490984670817852,-0.014017462730407715,0.9977289055650734,0.00928417179841026,-0.06671290345093728,3.5602331778073943e-20
1733409612318103552,0.2101147174835205,0.03196505457162857,0.006324865855276585,-0.03096332587301731,-0.13298399746418,-0.018691278994083405,-0.9909419417381287,0.011676684021949768,0.0328514389693737,-0.013483107089996338,0.9977328114838242,0.009357513425643026,-0.06664440393396809,-0.00014016100895167488
1733409612328089600,0.22010064125061035,0.04020380973815918,0.0041807545349001884,-0.0158512182533741,-0.13294541835784912,-0.01909676007926464,-0.9909393787384033,0.011744916439056396,0.02838936820626259,-0.00953364372253418,0.9977322057397763,0.009553317699936049,-0.06662620531927445,-0.00025105570257414917
1733409612338075392,0.2300865650177002,0.05124469846487045,-0.018496859818696976,-0.00584221538156271,-0.13300780951976776,-0.019533487036824226,-0.9909225106239319,0.01485908031463623,0.021562913432717323,-0.0038437247276306152,0.9977279572774594,0.009770444059235758,-0.0666580655862998,-0.00027751117313134415
1733409612348061440,0.24007272720336914,0.037005044519901276,-0.006723823957145214,0.01981681026518345,-0.1331695318222046,-0.02001701109111309,-0.9908910989761353,0.010076940059661865,0.023068774491548538,-0.003844618797302246,0.997720120996307,0.010016188044839652,-0.06673919953265744,-0.0002270565297562618
1733409612358047488,0.250058650970459,0.010065216571092606,0.0028622238896787167,0.03188261762261391,-0.13317914307117462,-0.02020318992435932,-0.9908860325813293,-0.005004405975341797,0.0008855704218149185,-0.009815871715545654,0.9977188351225885,0.010118604322265181,-0.06674274295775726,-9.09899467137381e-05
1733409612368032512,0.2600436210632324,-0.0033930670469999313,0.003308835905045271,0.04049394652247429,-0.13316340744495392,-0.020182892680168152,-0.9908885955810547,0.0030365288257598877,0.007334999740123749,-0.009447097778320312,0.9977194880896544,0.010120897790423572,-0.066732924524058,9.546947280086269e-05
1733409612378018304,0.27002954483032227,-0.024489963427186012,0.013858681544661522,0.03668788820505142,-0.1330757588148117,-0.020010676234960556,-0.9909038543701172,0.00044642388820648193,0.006338806822896004,-0.011064529418945312,0.9977232405465498,0.01004701866280883,-0.06668687846280175,0.00028200687589861656
1733409612388004608,0.2800157070159912,-0.05112210661172867,0.029084505513310432,0.025207800790667534,-0.1328776329755783,-0.01958581432700157,-0.9909389019012451,-0.004588723182678223,0.0007717348635196686,-0.006680667400360107,0.9977319743779652,0.009843722973762199,-0.06658562467080802,0.00042787618487530245
1733409612397990400,0.29000163078308105,-0.07656976580619812,0.037769339978694916,0.01036928966641426,-0.13253311812877655,-0.018917342647910118,-0.9909980297088623,-0.008076578378677368,0.002376822754740715,-0.008788347244262695,0.997746744449513,0.009513595997902413,-0.0664114025771241,0.0005042460162861811
1733409612407975424,0.2999866008758545,-0.10603897273540497,0.05284496396780014,0.007822241634130478,-0.13207592070102692,-0.018004801124334335,-0.9910760521888733,-0.008350670337677002,0.010054979473352432,-0.007001340389251709,0.9977663048655272,0.009057072370645835,-0.0661810731196198,0.0005204000496116942
1733409612417961472,0.30997276306152344,-0.12209467589855194,0.04539796710014343,0.015284198336303234,-0.13157542049884796,-0.01683889701962471,-0.9911631345748901,0.00034987926483154297,0.009590975940227509,-0.0028249025344848633,0.9977880755930619,0.008474087824955198,-0.06592892383474222,0.00054445893536551
1733409612427947520,0.3199586868286133,-0.08275020122528076,0.016237419098615646,0.0313691571354866,-0.13127003610134125,-0.01574327051639557,-0.9912216067314148,0.009276077151298523,0.019939443096518517,-0.0006454586982727051,0.9978027371611833,0.007931022970748948,-0.06577448407299652,0.0006379599379165502
1733409612437933568,0.3299446105957031,-0.04657915234565735,0.004857997409999371,0.05199054628610611,-0.1311957836151123,-0.015081213787198067,-0.9912417531013489,0.02041703462600708,0.030172161757946014,-0.003600776195526123,0.9978076830286879,0.007611631456086929,-0.06573571281184545,0.000826606162428992
1733409612447919616,0.33993077278137207,-0.04931235313415527,0.004293673671782017,0.05751154571771622,-0.13115708529949188,-0.014551558531820774,-0.9912548065185547,0.010277003049850464,0.016794607043266296,-0.009386062622070312,0.9978106498717773,0.0073636158642488994,-0.06571437581357585,0.0010913133506238548
1733409612457902592,0.3499138355255127,-0.04111132770776749,0.004813256207853556,0.06256267428398132,-0.1310916543006897,-0.0139878885820508,-0.9912715554237366,0.009219765663146973,0.012507791630923748,-0.011490285396575928,0.9978145246446236,0.007099980622644249,-0.0656795807540952,0.0013781991890817968
1733409612467888896,0.35989999771118164,-0.01657749153673649,-0.008468993939459324,0.05092732608318329,-0.136369526386261,-0.01836319826543331,-0.990487813949585,0.02052485942840576,0.02114030346274376,-0.010702371597290039,0.9976179255281945,0.009308466028576394,-0.06833327857741102,0.0015321057427870777
1733409612477874688,0.3698859214782715,-0.01004679687321186,-0.002248914446681738,0.02736465074121952,-0.13783301413059235,-0.017261173576116562,-0.9903050661087036,0.009430363774299622,0.01622358150780201,-0.010869860649108887,0.9975717576045123,0.008773724270190107,-0.06906874893925849,0.0017639343087619633
1733409612487860736,0.37987184524536133,-0.015327312052249908,0.006610889453440905,-5.454057827591896e-06,-0.13829383254051208,-0.014040213078260422,-0.9902917146682739,-0.0024531781673431396,0.006548152305185795,-0.014377474784851074,0.9975681118146655,0.007171911888232318,-0.06930154715902416,0.001938834832313899
