"event","experiment time","system time","system time text"
"START",0.000000000E0,1734350492.355,"2024-12-16 13:01:32.355 UTC+01:00"
"PAUSE",1.849424110E1,1734350510.850,"2024-12-16 13:01:50.850 UTC+01:00"
