"event","experiment time","system time","system time text"
"START",0.000000000E0,1734353303.724,"2024-12-16 13:48:23.724 UTC+01:00"
"PAUSE",1.121762968E1,1734353314.942,"2024-12-16 13:48:34.942 UTC+01:00"
