"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.625330500E-2,-1.325623751E0,8.876175880E0,2.791825771E0
1.829076100E-2,-1.487139225E0,8.841479301E0,2.575275421E0
2.037303100E-2,-1.606780410E0,8.907880783E0,2.531008244E0
2.245530200E-2,-1.669592023E0,8.970093727E0,2.553740025E0
2.453757300E-2,-1.668993831E0,8.898308754E0,2.596810818E0
2.662753000E-2,-1.659422517E0,8.826524734E0,2.654238462E0
2.871748700E-2,-1.650449395E0,8.855237961E0,2.702095032E0
3.085004600E-2,-1.664806366E0,8.888737679E0,2.740380049E0
3.298265500E-2,-1.655833244E0,8.894122124E0,2.831307411E0
3.508505200E-2,-1.627119422E0,8.855836868E0,2.903092146E0
3.719728300E-2,-1.613360643E0,8.846863747E0,2.979662418E0
3.933121600E-2,-1.622931957E0,8.846863747E0,3.141776085E0
4.144821100E-2,-1.623530149E0,8.851649284E0,3.246462107E0
4.358969100E-2,-1.643270969E0,8.833105087E0,3.380460262E0
4.571084600E-2,-1.653440475E0,8.828319550E0,3.513859987E0
4.783378200E-2,-1.701296926E0,8.813961983E0,3.646661758E0
4.993804900E-2,-1.725823283E0,8.795417786E0,3.813561201E0
5.207761600E-2,-1.828116536E0,8.896514893E0,4.261018753E0
5.421426500E-2,-1.978266120E0,8.877969742E0,4.869992256E0
5.634472800E-2,-2.035095692E0,8.619544983E0,4.941776752E0
5.846801900E-2,-2.072782516E0,8.590232849E0,4.764708042E0
6.059171600E-2,-2.163111687E0,8.690134048E0,4.577469826E0
6.271655300E-2,-2.187039852E0,8.756534576E0,4.438087940E0
6.484215400E-2,-2.187039852E0,8.790034294E0,4.362115860E0
6.696476300E-2,-2.152942181E0,8.746963501E0,4.267001152E0
6.908178700E-2,-2.109871387E0,8.766105652E0,4.191029072E0
7.122335900E-2,-2.118844509E0,8.846863747E0,4.100101471E0
7.334502300E-2,-2.095514536E0,8.976076126E0,4.057030678E0
7.547421400E-2,-2.076371908E0,9.062217712E0,4.047459602E0
7.759652800E-2,-2.043470621E0,9.100502968E0,4.062414646E0
7.972224000E-2,-2.038684845E0,9.153144836E0,4.100699902E0
8.184461600E-2,-2.044068813E0,9.158528328E0,4.157529354E0
8.396034900E-2,-2.063211441E0,9.187242508E0,4.214358807E0
8.609950900E-2,-2.072782516E0,9.168100357E0,4.238286972E0
8.822545600E-2,-2.087139606E0,9.144171715E0,4.262215137E0
9.034949900E-2,-2.101496458E0,9.139386177E0,4.299902439E0
9.245643300E-2,-2.111067772E0,9.125029564E0,4.352544308E0
9.459246900E-2,-2.135594130E0,9.101100922E0,4.404588223E0
9.672824300E-2,-2.135594130E0,9.067601204E0,4.428516388E0
9.885807500E-2,-2.130210400E0,9.024530411E0,4.400400639E0
1.009818430E-1,-2.159522533E0,9.062815666E0,4.462016106E0
1.031049820E-1,-2.159522533E0,9.053244591E0,4.514657974E0
1.052308470E-1,-2.169093609E0,9.019744873E0,4.490729809E0
1.073565080E-1,-2.134397745E0,8.919246674E0,4.386044025E0
1.094828400E-1,-2.115255117E0,8.843274117E0,4.424927235E0
1.116135470E-1,-2.111067772E0,8.843274117E0,4.500899315E0
1.137476820E-1,-2.087139606E0,8.895915985E0,4.515854359E0
1.158585230E-1,-2.072184324E0,8.838488579E0,4.411168575E0
1.179847640E-1,-2.038684845E0,8.838488579E0,4.306482315E0
1.201072810E-1,-2.067398787E0,8.871988297E0,4.339384079E0
1.222369910E-1,-2.105684042E0,8.928817749E0,4.343571186E0
1.243621840E-1,-2.143969059E0,9.010173798E0,4.266402721E0
1.264885180E-1,-2.153540373E0,9.009575844E0,4.170690060E0
1.286146070E-1,-2.142772675E0,8.976076126E0,3.999603033E0
1.307373370E-1,-2.156531334E0,8.922835350E0,3.870390654E0
1.328568950E-1,-2.123031855E0,8.841479301E0,3.789632797E0
1.349906440E-1,-2.170888424E0,8.913264275E0,3.860819340E0
1.371165800E-1,-2.229512453E0,9.109476089E0,4.040879250E0
1.392444980E-1,-2.170888424E0,9.042476654E0,3.745963812E0
1.413678310E-1,-2.140978098E0,8.898308754E0,3.483949661E0
