"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.993804900E-2,-7.280385494E-2,-9.143829346E-3,-4.768421650E-1
6.696476300E-2,-4.762831926E-1,-5.759620667E-2,3.772902489E-1
8.396034900E-2,-4.187258482E-1,3.067865372E-1,1.103649139E-1
1.009818430E-1,-4.569650888E-1,3.029603958E-1,3.290996552E-1
1.179847640E-1,-3.893857002E-1,1.071624756E-1,3.654050827E-1
1.349906440E-1,-4.283761978E-1,1.298475266E-1,-3.348112106E-2
1.519979570E-1,-3.805446625E-1,4.195499420E-2,-3.733179569E-1
1.690019560E-1,-2.866829634E-1,1.182851791E-1,-5.781943798E-1
1.860074500E-1,-6.259373426E-1,3.837442398E-1,-3.745577335E-1
2.030173990E-1,-4.322408438E-1,3.885231018E-1,2.975370884E-1
2.200190170E-1,-1.335607767E0,9.544029236E-1,-5.624864101E-1
2.370132090E-1,-1.200244784E0,1.010694504E0,-3.117151260E-1
2.540301670E-1,-1.173625827E0,1.122225761E0,-1.877212524E-2
2.710230060E-1,-1.650130749E0,1.339445114E0,4.413681030E-1
2.880444810E-1,-2.184129238E0,1.881335258E0,5.874276161E-1
3.050475930E-1,-2.215458632E0,1.872125626E0,2.089085579E-1
3.220447860E-1,-1.992592216E0,1.770092964E0,-3.287935257E-1
3.390593740E-1,-2.496446371E0,1.911938667E0,-5.116138458E-1
3.560647970E-1,-3.297277927E0,1.939614296E0,-4.586067200E-1
3.730703300E-1,-3.544845581E0,1.700866699E0,-6.576430798E-1
3.900753150E-1,-3.234714985E0,2.068578720E0,-7.614068985E-1
4.070787050E-1,-2.825129509E0,2.179563522E0,-5.964679718E-1
4.240841870E-1,-2.335296631E0,2.077469826E0,-1.487500668E-1
4.410930570E-1,-1.597477794E0,2.240475655E0,6.306433678E-1
4.580986540E-1,-1.251831412E0,2.451714516E0,1.672992229E0
4.751010750E-1,-1.154343486E0,2.316032410E0,2.484869480E0
4.921103020E-1,-8.081457615E-1,2.215434074E0,3.038743496E0
5.091160190E-1,-5.846708417E-1,2.313678741E0,3.208704472E0
5.261273020E-1,-4.443206191E-1,2.077501297E0,2.935501575E0
5.431274950E-1,-7.623763680E-1,1.758339882E0,2.846931458E0
5.601333140E-1,-1.216877103E0,1.215464592E0,2.836009502E0
5.771420930E-1,-1.455906749E0,1.372280121E-1,3.079185486E0
5.941441890E-1,-1.489991188E0,-1.017930984E0,3.192066431E0
6.111501090E-1,-1.530026436E0,-2.076523304E0,3.366066217E0
6.281523590E-1,-1.410984516E0,-2.995416641E0,3.423527956E0
6.451616770E-1,-1.166935205E0,-3.831900597E0,3.087909460E0
6.621669770E-1,-1.129493952E0,-4.320400715E0,2.908041000E0
6.791759180E-1,-9.909975529E-1,-4.736841202E0,2.574233770E0
6.961790830E-1,-8.393598199E-1,-4.982448578E0,2.337743044E0
7.131914020E-1,-8.015534282E-1,-4.969582558E0,1.853747487E0
7.301898660E-1,-6.792477369E-1,-4.500688553E0,1.526076674E0
7.471974160E-1,-9.201478958E-2,-4.017360687E0,1.274436355E0
7.642011490E-1,2.739286423E-1,-3.477986336E0,9.075858593E-1
7.812105280E-1,1.468265057E-1,-2.729792595E0,8.934297562E-1
7.982250460E-1,-2.568454742E-1,-2.245264530E0,1.144764662E0
8.152209670E-1,-5.246040821E-1,-2.206552505E0,6.641908288E-1
8.322244460E-1,-4.392707348E-1,-2.072860718E0,4.975400567E-1
8.492333570E-1,2.574658394E-1,-1.725663662E0,6.634658575E-1
8.662385870E-1,5.899786949E-1,-1.095240593E0,3.837478161E-1
8.832415980E-1,7.363643646E-1,-5.307226181E-1,1.822593212E-1
9.002503370E-1,6.717882156E-1,-2.009162903E-1,2.300086021E-1
9.172527280E-1,7.083635330E-1,-2.517962456E-1,-2.738595009E-2
9.342583330E-1,8.311061859E-1,-2.993397713E-1,-1.292607784E-1
9.512673970E-1,7.853689194E-1,-2.444272041E-1,-1.429059505E-1
9.682732370E-1,8.009328842E-1,-1.857900620E-1,-8.894324303E-2
9.852626370E-1,1.002666950E0,-2.236366272E-1,-1.848099232E-1
1.002283919E0,1.136190891E0,-2.997899055E-1,-1.264824867E-1
1.019274266E0,1.369576454E0,-2.300062180E-1,-2.535796165E-2
1.036279576E0,1.453272343E0,-2.115912437E-1,5.713868141E-2
1.053301722E0,1.314773560E0,-4.682760239E-1,2.721035480E-1
1.070288122E0,1.068931103E0,-7.657628059E-1,4.892870188E-1
1.087293901E0,9.836039543E-1,-8.345127106E-1,8.058968782E-1
1.104318884E0,1.035527706E0,-8.473582268E-1,8.134056330E-1
1.121321357E0,1.142961502E0,-8.322300911E-1,5.720059872E-1
1.138330157E0,1.006072998E0,-5.284919739E-1,4.061625004E-1
1.155332711E0,5.268154144E-1,-2.980875969E-1,2.969479561E-1
1.172328112E0,3.131294250E-2,-2.258772850E-1,3.208799362E-1
1.189346678E0,1.199359894E-1,-4.621295929E-1,-1.565134525E-1
1.206349893E0,1.098833084E-1,-6.487448215E-1,-1.406158209E-1
1.223342610E0,-3.861045837E-2,-6.318237782E-1,-2.547847033E-1
1.240363677E0,-3.588914871E-1,1.843285561E-2,-2.371674776E-1
1.257355845E0,-5.002145767E-1,4.364035130E-1,1.482335329E-1
1.274375346E0,-5.635967255E-1,4.342930317E-1,1.964499950E-1
