"event","experiment time","system time","system time text"
"START",0.000000000E0,1734535422.835,"2024-12-18 16:23:42.835 UTC+01:00"
"PAUSE",1.116904554E1,1734535434.004,"2024-12-18 16:23:54.004 UTC+01:00"
