"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.734355491054998E9,"2024-12-16 14:24:51.055 UTC+01:00"
"PAUSE",1.238263437501155E1,1.734355503437613E9,"2024-12-16 14:25:03.438 UTC+01:00"
