Person,Action,Acceleration x (m/s^2)_mean,Acceleration x (m/s^2)_std,Acceleration x (m/s^2)_min,Acceleration x (m/s^2)_max,Acceleration y (m/s^2)_mean,Acceleration y (m/s^2)_std,Acceleration y (m/s^2)_min,Acceleration y (m/s^2)_max,Acceleration z (m/s^2)_mean,Acceleration z (m/s^2)_std,Acceleration z (m/s^2)_min,Acceleration z (m/s^2)_max,Gyroscope x (rad/s)_mean,Gyroscope x (rad/s)_std,Gyroscope x (rad/s)_min,Gyroscope x (rad/s)_max,Gyroscope y (rad/s)_mean,Gyroscope y (rad/s)_std,Gyroscope y (rad/s)_min,Gyroscope y (rad/s)_max,Gyroscope z (rad/s)_mean,Gyroscope z (rad/s)_std,Gyroscope z (rad/s)_min,Gyroscope z (rad/s)_max,Linear Acceleration x (m/s^2)_mean,Linear Acceleration x (m/s^2)_std,Linear Acceleration x (m/s^2)_min,Linear Acceleration x (m/s^2)_max,Linear Acceleration y (m/s^2)_mean,Linear Acceleration y (m/s^2)_std,Linear Acceleration y (m/s^2)_min,Linear Acceleration y (m/s^2)_max,Linear Acceleration z (m/s^2)_mean,Linear Acceleration z (m/s^2)_std,Linear Acceleration z (m/s^2)_min,Linear Acceleration z (m/s^2)_max
2,walkingwith,-0.5613750370151057,1.6025482218821991,-5.604588985,3.683750391,4.359107350462025,1.3857968842110393,0.0,7.921439171,8.649079152899544,2.3754356356564688,0.0,16.1389904,-0.0338950998746544,0.2921684033071267,-1.052062631,0.7910705209,0.0245492347718074,0.5046892915860935,-1.539533138,1.844507575,0.0087884681142655,0.6733065045367843,-1.57145083,1.563814998,0.5160499374114752,1.0302289929553767,-2.420933962,3.575997114,-0.7115536750791854,1.3167928929938415,-3.327302933,2.394289017,0.3893690968349882,2.293648689939977,-4.115983486,7.174487114
1,walkingwith,0.5734422198391702,1.1494705061182964,-3.598485231,3.481169224,3.675496955396973,1.0466306679898798,0.6200982332,6.016928196,9.026130832967944,1.8942307835595693,5.763142586,14.93802261,-0.0117715866377059,0.4722163166467761,-3.133051395,3.760562897,0.0106980996641936,0.3731320790164359,-1.039921761,3.32776475,0.0007001800518173,0.3479050456170965,-2.308001518,0.6840163469,0.2277604479494884,0.8192800216267904,-2.440515041,2.442908287,0.2897820322585911,1.1340608902293183,-2.060768843,4.088886738,-0.1528652251198377,1.9227496080525244,-3.234268665,5.71384716
1,drinking,-0.7293011195845842,5.205455727537202,-11.8875103,10.10622501,6.027205811985213,3.5224175950387453,-2.324769735,15.57248688,2.613294443474706,4.186024776170648,-3.100491285,14.8877449,-0.0730893005418407,0.943857921497925,-3.140305519,4.422206402,0.0161385833085598,1.6361037272441303,-6.014273643,9.688628197,-0.0938706654456602,1.8031817501172385,-8.328994751,5.255426407,1.1855550637607684,1.9320103081137607,-6.395811081,10.56884575,-0.0063907145999292,2.127289375434154,-8.113456726,7.319087982,0.0987060348875063,1.8850117757786908,-4.113616943,6.752358437
1,walking,6.42950250320046,3.143047763021342,0.07900865376,23.01366615,-8.962893651366468,3.3396746323067443,-23.15013504,5.219658852,0.4240796832489249,2.0460855675076224,-3.804386616,11.47810268,-0.0457247459836771,0.8116970906456954,-4.366922855,4.284761429,0.0625272471137811,1.0069814602363625,-4.854240894,4.893335819,0.0207011536674322,2.0166651319912634,-5.346139908,5.781381607,-0.2554099004454304,4.782385915154765,-9.237472534,18.36874771,-3.049174706075891,3.8955589887771382,-18.12233353,6.301010609,0.5488831690447866,1.8594361838075344,-9.314286232,7.675937653
2,drinking,-3.343387369617725,3.854257405535412,-11.137393,10.79880905,6.866961021829999,3.615983283265063,-1.571486235,18.2973156,-0.2313479682726671,3.391419229107399,-31.00380325,22.85025978,-0.0021258355156896,0.6525192564213858,-2.978579044,2.685668945,-0.034378537795141,0.4436376132677669,-3.069445133,2.199267626,-0.0088977330547829,0.6394702023952592,-2.206292629,2.774549961,0.5401604348641472,0.7576115946699189,-6.505852699,5.114940166,0.0627098559940735,0.7182169637648079,-5.71297121,10.80507278,-0.1926219776007623,0.8159421737211412,-12.0468092,7.450921059
1,walking,7.064465363415384,2.770894086746148,1.230619669,17.70811462,-6.895518160893077,3.5514629138539995,-13.75738239,6.344933987,1.0284759600025202,2.252741229198158,-3.107673883,11.42303562,-0.009700422435452,0.7219143627933178,-3.654195786,1.762957096,0.0282096413789508,1.150188883495131,-4.932278633,5.263673306,0.0221644234214894,1.5908766789070483,-2.621910095,3.653508663,0.8464307367061686,3.5839916944701256,-5.934171677,10.54170609,-1.6173340877060975,2.9256836411361915,-9.012665749,4.316592693,-1.4572683911818014,1.5480607023732529,-6.696990967,3.822896004
1,walkingwith,0.3846976028808138,0.7373757999538212,-1.683123827,3.193865061,4.675122387617886,0.9347273605908566,2.808398485,6.909965515,8.606346820086177,1.6817044777200003,4.534617901,13.4197998,0.0005875792138832,0.2947375873383515,-1.06832695,0.8650615215,-0.0289950992253368,0.3053960331553737,-1.084514856,0.8048913479,-0.034152734166503,0.242995706715433,-0.849255383,0.5850561857,0.4099949839259873,0.637849494536879,-1.430230975,2.61916995,-0.4223114429939708,0.8658352066639896,-1.922408104,1.877237797,0.2923710238864735,1.6955342250591388,-3.632064342,4.813465118
1,walkingwith,0.3851212154436852,0.8907139758098218,-2.149993181,3.576937437,5.041567938995105,1.207979885249323,2.801215887,8.099884033,8.456927641236499,2.225365208214363,3.924096584,14.19312668,-0.0032658226467433,0.3379741157405415,-1.636966109,0.8315402865,-0.003621466804666,0.3114255336051921,-1.084591269,1.035111189,-0.0046856226712946,0.2016291254385118,-0.6094908118,0.7148650289,0.0119717715808407,0.7442507213010733,-1.982431889,2.717478275,-0.233175652042408,1.1447096364677016,-2.570360661,2.85122776,0.2166557107347241,2.2944184837839234,-4.102751255,5.969969749
2,walking,7.905025430151255,3.7309402932669697,-5.909673691,17.55733681,-3.354750870907313,2.913331768259011,-12.83569908,4.915455818,3.223310247519509,2.396868804784571,-1.889133453,11.3760767,-0.1255522546576307,1.047434719125285,-2.863736153,3.364034891,-0.1582033376049606,1.259954973948019,-4.883103848,4.396091938,-0.0246800226365565,1.5739479031439956,-5.073082924,4.856684208,0.777453889538371,2.940319684125459,-5.619704723,10.24739265,0.138246853234563,2.3432686605402755,-6.068681717,7.520844936,0.5563696573456605,1.5149017103642402,-6.555759907,5.053102016
1,drinking,-3.4645854783041146,4.461178877710677,-11.77258873,5.272331238,5.947499257696906,4.785178397266282,-5.272331238,15.35221958,0.8062387378136503,3.146979541525499,-2.806004286,10.35043335,-0.0095935671781942,0.4474808359223903,-2.679102182,2.855336905,-0.0097455277499419,0.8417096289971008,-5.289787769,6.287941456,-0.033214950008565,1.5720759342180184,-4.896543026,5.36049509,0.3414002823081652,1.2331331248691353,-3.52075386,5.36306572,0.0117091200728061,1.3856642546224662,-4.165266037,5.549013138,0.024155845289639,0.6153443357258248,-3.118155956,3.380984783
